symbol,avg_turnover_30d
GROWW,59879829007.31667
PINELABS,24554164991.61
HDFCBANK,19833258425.02174
ICICIBANK,18360517239.734783
BHARTIARTL,18312994883.504345
RELIANCE,16618988670.24348
BSE,15192513083.42174
LENSKART,14612088578.25
INFY,13726714534.413046
ETERNAL,11916706211.77826
IDEA,11208452505.385214
SBIN,10445801598.165218
LGEINDIA,8814505050.449999
ADANIPOWER,8504292403.992607
TCS,8503543879.2
BAJFINANCE,8056462242.445652
NETWEB,8049892844.795651
M&M,8036809988.030434
AXISBANK,7338049739.430434
LT,7335289805.847826
BEL,6405794459.680434
MCX,6186127453.608696
CHENNPETRO,6099114496.991303
TMPV,6081748977.558696
ITC,6046273678.858696
SAGILITY,5975989170.635652
SHRIRAMFIN,5950487043.291304
HINDALCO,5748581295.95
KOTAKBANK,5696133921.630434
MARUTI,5563359400.304348
VEDL,5262864356.77826
RBLBANK,5178055132.852173
SUZLON,4865755937.511739
WAAREEENER,4777323806.986957
ADANIGREEN,4701455273.730434
HAL,4645414503.53913
TATASTEEL,4588308360.872174
EPACKPEB,4488884898.794783
CANBK,4465183508.523044
HBLENGINE,4429272720.308696
INDIGO,4414548331.26087
TRENT,4409670302.582608
DIXON,4385168932.130435
PAYTM,3968857135.100001
ATHERENERG,3944757696.85
TATACAP,3900136714.930434
HINDUNILVR,3694296901.417391
ADANIPORTS,3686103293.769565
TATAINVEST,3678423649.310869
ASIANPAINT,3657430754.726087
SWIGGY,3637135874.9478254
WAAREERTL,3597186828.634783
POWERGRID,3548841409.0478263
SAIL,3541796178.9643474
INDUSINDBK,3533332797.0521736
SCI,3519079969.1769567
HCLTECH,3514535518.630435
VBL,3482955613.326087
ADANIENT,3478637308.004348
TITAN,3476112100.017392
BHEL,3459513808.6356525
TVSMOTOR,3458702576.13913
INDUSTOWER,3450490947.382609
NATIONALUM,3410664711.8991303
SAMMAANCAP,3311999446.528695
CDSL,3289757495.1086965
BPCL,3263111717.4739137
POWERINDIA,3204700222.130435
BAJAJ-AUTO,3177335205.2173915
HINDCOPPER,3160457664.841304
HDFCAMC,3159579779.7826085
KAYNES,3157060798.021739
POLICYBZR,3156518675.826087
GRSE,3101159936.7782607
JIOFIN,3068564948.3934784
PERSISTENT,3032447424.1478257
GMBREW,3026240764.728261
BLS,2951745124.558696
SUNPHARMA,2937328555.5
AMBER,2906944853.673913
LTF,2887912279.8034782
NTPC,2884732365.917391
DIVISLAB,2884193203.152174
BANKBARODA,2839817576.517391
HEROMOTOCO,2839005155.7173915
NAVINFLUOR,2813990905.495652
COFORGE,2794207707.369565
EICHERMOT,2788201097.7391305
IDFCFIRSTB,2755257960.021304
ANGELONE,2717742411.752174
FEDERALBNK,2717532138.1047826
IOC,2707713917.67913
CHOLAFIN,2692654729.386956
AUBANK,2658525901.402173
COALINDIA,2617040643.008696
APOLLOHOSP,2578315326.2173915
ULTRACEMCO,2560452611.7391305
HINDZINC,2544174161.4434786
BRITANNIA,2517781849.130435
TECHM,2485462706.921739
CIPLA,2484460005.3782606
SYRMA,2481101684.469565
HYUNDAI,2477756740.0608697
MAZDOCK,2470196037.821739
FORTIS,2468244503.8652177
MUTHOOTFIN,2466081958.7652173
MAXHEALTH,2462256331.326087
BLUEDART,2445828712.130435
BAJAJFINSV,2438187841.9739127
FIVESTAR,2434192429.073913
DRREDDY,2431969748.078261
REDINGTON,2427931362.4434786
WIPRO,2424367093.285218
YESBANK,2391955456.9695654
RECLTD,2376397982.195652
MRPL,2329824009.747391
PFC,2320387649.065217
ONGC,2310252081.0130434
CUMMINSIND,2267292110.7739134
HINDPETRO,2266427275.2152176
MTARTECH,2220351169.030435
